,0
113,'11240';'Graz/Flughafen';'340';'2021-01-31';'17:00';'0.1';'°C';'2021-01-31 17:10:10'
114,'11240';'Graz/Flughafen';'340';'2021-01-31';'18:00';'-0.5';'°C';'2021-01-31 18:10:19'
115,'11240';'Graz/Flughafen';'340';'2021-01-31';'19:00';'-0.7';'°C';'2021-01-31 19:10:08'
116,'11240';'Graz/Flughafen';'340';'2021-01-31';'20:00';'-0.8';'°C';'2021-01-31 20:10:08'
117,'11240';'Graz/Flughafen';'340';'2021-01-31';'21:00';'-1.1';'°C';'2021-01-31 21:10:09'
118,'11240';'Graz/Flughafen';'340';'2021-01-31';'22:00';'-0.8';'°C';'2021-01-31 22:10:10'
119,'11240';'Graz/Flughafen';'340';'2021-01-31';'23:00';'-1.4';'°C';'2021-01-31 23:10:09'
120,'11240';'Graz/Flughafen';'340';'2021-02-01';'00:00';'-1.2';'°C';'2021-02-01 00:10:11'
121,'11240';'Graz/Flughafen';'340';'2021-02-01';'01:00';'-2.0';'°C';'2021-02-01 01:10:09'
122,'11240';'Graz/Flughafen';'340';'2021-02-01';'02:00';'-3.5';'°C';'2021-02-01 02:10:16'
123,'11240';'Graz/Flughafen';'340';'2021-02-01';'03:00';'-4.3';'°C';'2021-02-01 03:10:08'
124,'11240';'Graz/Flughafen';'340';'2021-02-01';'04:00';'-5.7';'°C';'2021-02-01 04:10:10'
125,'11240';'Graz/Flughafen';'340';'2021-02-01';'05:00';'-5.9';'°C';'2021-02-01 05:10:09'
126,'11240';'Graz/Flughafen';'340';'2021-02-01';'06:00';'-5.5';'°C';'2021-02-01 06:10:09'
127,'11240';'Graz/Flughafen';'340';'2021-02-01';'07:00';'-5.5';'°C';'2021-02-01 07:10:09'
128,'11240';'Graz/Flughafen';'340';'2021-02-01';'08:00';'-4.5';'°C';'2021-02-01 08:10:10'
129,'11240';'Graz/Flughafen';'340';'2021-02-01';'09:00';'-3.9';'°C';'2021-02-01 09:10:09'
130,'11240';'Graz/Flughafen';'340';'2021-02-01';'10:00';'-3.6';'°C';'2021-02-01 10:10:09'
131,'11240';'Graz/Flughafen';'340';'2021-02-01';'11:00';'-2.8';'°C';'2021-02-01 11:10:09'
132,'11240';'Graz/Flughafen';'340';'2021-02-01';'12:00';'-0.8';'°C';'2021-02-01 12:10:08'
133,'11240';'Graz/Flughafen';'340';'2021-02-01';'13:00';'-0.6';'°C';'2021-02-01 13:10:08'
134,'11240';'Graz/Flughafen';'340';'2021-02-01';'14:00';'0.6';'°C';'2021-02-01 14:10:08'
135,'11240';'Graz/Flughafen';'340';'2021-02-01';'15:00';'1.5';'°C';'2021-02-01 15:10:11'
136,'11240';'Graz/Flughafen';'340';'2021-02-01';'16:00';'1.3';'°C';'2021-02-01 16:10:13'
137,'11240';'Graz/Flughafen';'340';'2021-02-01';'17:00';'-0.9';'°C';'2021-02-01 17:10:09'
138,'11240';'Graz/Flughafen';'340';'2021-02-01';'18:00';'-1.5';'°C';'2021-02-01 18:10:09'
139,'11240';'Graz/Flughafen';'340';'2021-02-01';'19:00';'-2.5';'°C';'2021-02-01 19:10:09'
140,'11240';'Graz/Flughafen';'340';'2021-02-01';'20:00';'-3.2';'°C';'2021-02-01 20:10:14'
141,'11240';'Graz/Flughafen';'340';'2021-02-01';'21:00';'-2.0';'°C';'2021-02-01 21:10:08'
142,'11240';'Graz/Flughafen';'340';'2021-02-01';'22:00';'-1.4';'°C';'2021-02-01 22:10:13'
143,'11240';'Graz/Flughafen';'340';'2021-02-01';'23:00';'-2.0';'°C';'2021-02-01 23:10:11'
144,'11240';'Graz/Flughafen';'340';'2021-02-02';'00:00';'-2.7';'°C';'2021-02-02 00:10:09'
145,'11240';'Graz/Flughafen';'340';'2021-02-02';'01:00';'-3.5';'°C';'2021-02-02 01:10:11'
146,'11240';'Graz/Flughafen';'340';'2021-02-02';'02:00';'-5.2';'°C';'2021-02-02 02:10:10'
147,'11240';'Graz/Flughafen';'340';'2021-02-02';'03:00';'-4.1';'°C';'2021-02-02 03:10:20'
148,'11240';'Graz/Flughafen';'340';'2021-02-02';'04:00';'-4.3';'°C';'2021-02-02 04:10:12'
149,'11240';'Graz/Flughafen';'340';'2021-02-02';'05:00';'-3.7';'°C';'2021-02-02 05:10:08'
150,'11240';'Graz/Flughafen';'340';'2021-02-02';'06:00';'-3.6';'°C';'2021-02-02 06:10:09'
151,'11240';'Graz/Flughafen';'340';'2021-02-02';'07:00';'-3.5';'°C';'2021-02-02 07:10:08'
152,'11240';'Graz/Flughafen';'340';'2021-02-02';'08:00';'-3.5';'°C';'2021-02-02 08:10:10'
153,'11240';'Graz/Flughafen';'340';'2021-02-02';'09:00';'-2.9';'°C';'2021-02-02 09:10:08'
154,'11240';'Graz/Flughafen';'340';'2021-02-02';'10:00';'-2.2';'°C';'2021-02-02 10:10:10'
155,'11240';'Graz/Flughafen';'340';'2021-02-02';'11:00';'-0.8';'°C';'2021-02-02 11:10:09'
156,'11240';'Graz/Flughafen';'340';'2021-02-02';'12:00';'2.3';'°C';'2021-02-02 12:10:10'
157,'11240';'Graz/Flughafen';'340';'2021-02-02';'13:00';'3.9';'°C';'2021-02-02 13:10:12'
158,'11240';'Graz/Flughafen';'340';'2021-02-02';'14:00';'4.4';'°C';'2021-02-02 14:10:09'
159,'11240';'Graz/Flughafen';'340';'2021-02-02';'15:00';'4.2';'°C';'2021-02-02 15:10:10'
160,'11240';'Graz/Flughafen';'340';'2021-02-02';'16:00';'3.6';'°C';'2021-02-02 16:10:12'
161,'11240';'Graz/Flughafen';'340';'2021-02-02';'17:00';'2.3';'°C';'2021-02-02 17:10:11'
162,'11240';'Graz/Flughafen';'340';'2021-02-02';'18:00';'2.0';'°C';'2021-02-02 18:10:11'
163,'11240';'Graz/Flughafen';'340';'2021-02-02';'19:00';'1.5';'°C';'2021-02-02 19:10:11'
